ORIGINAL	TRANSLATED
Amory Blaine inherited from his mother every trait, except the stray inexpressible few, that made him worth while. His father, an ineffectual, inarticulate man with a taste for Byron and a habit of drowsing over the Encyclopedia Britannica, grew wealthy at thirty through the death of two elder brothers, successful Chicago brokers, and in the first flush of feeling that the world was his, went to Bar Harbor and met Beatrice O’Hara	Amory Blaine got all the good things about him from his mother, except for a few special qualities that are hard to explain. His dad was kind of a quiet, unsuccessful guy who liked Byron's poetry and often fell asleep reading the Encyclopedia Britannica. He got rich at thirty when his older brothers, who were successful stockbrokers in Chicago, died. Feeling like he could do anything, he went to Bar Harbor and met Beatrice O'Hara.

In consequence, Stephen Blaine handed down to posterity his height of just under six feet and his tendency to waver at crucial moments, these two abstractions appearing in his son Amory. For many years he hovered in the background of his family’s life, an unassertive figure with a face half-obliterated by lifeless, silky hair, continually occupied in “taking care” of his wife, continually harassed by the idea that he didn’t and couldn’t understand her. But Beatrice Blaine! There was a woman! Early pictures taken on her father’s estate at Lake Geneva, Wisconsin, or in Rome at the Sacred Heart Convent—an educational extravagance that in her youth was only for the daughters of the exceptionally wealthy—showed the exquisite delicacy of her features, the consummate art and simplicity of her clothes	So, Stephen Blaine passed on two things to his son Amory: his height (just under six feet) and his tendency to be indecisive when it mattered most. Stephen was always kind of in the background of his family's life. He was quiet and his face was partly hidden by his thin, silky hair. He was always busy "taking care" of his wife, but he always felt like he didn't really get her. But Beatrice Blaine, now she was something else! Old photos of her at her dad's place on Lake Geneva, or from when she was at that fancy boarding school in Rome (a really expensive thing back then, only for rich girls) show how beautiful she was and how simple, yet elegant, her clothes were.

A brilliant education she had—her youth passed in renaissance glory, she was versed in the latest gossip of the Older Roman Families; known by name as a fabulously wealthy American girl to Cardinal Vitori and Queen Margherita and more subtle celebrities that one must have had some culture even to have heard of. She learned in England to prefer whiskey and soda to wine, and her small talk was broadened in two senses during a winter in Vienna. All in all Beatrice O’Hara absorbed the sort of education that will be quite impossible ever again; a tutelage measured by the number of things and people one could be contemptuous of and charming about; a culture rich in all arts and traditions, barren of all ideas, in the last of those days when the great gardener clipped the inferior roses to produce one perfect bud. In her less important moments she returned to America, met Stephen Blaine and married him—this almost entirely because she was a little bit weary, a little bit sad	She had an amazing education. Her youth was like living in a golden age. She knew all the latest dirt on the important old Roman families. Famous people like Cardinal Vitori and Queen Margherita knew her as that super-rich American girl. And there were other, less famous but still important people that only someone with a good education would even know about. In England, she picked up a taste for whiskey and soda instead of wine. And during a winter in Vienna, her small talk became both longer and more sophisticated. Basically, Beatrice O’Hara got the kind of education you just can't get anymore. It was an education judged by how many things and people you could be both dismissive and charming about. Her culture was full of art and tradition, but empty of new ideas. It was at the end of an era when the powerful were getting rid of anything they saw as lesser to create something perfect. When she wasn't doing anything too important, she came back to America, met Stephen Blaine, and married him. She did this mostly because she was a little tired and a little down.

Her only child was carried through a tiresome season and brought into the world on a spring day in ninety-six. When Amory was five he was already a delightful companion for her. He was an auburn-haired boy, with great, handsome eyes which he would grow up to in time, a facile imaginative mind and a taste for fancy dress. From his fourth to his tenth year he did the country with his mother in her father’s private car, from Coronado, where his mother became so bored that she had a nervous breakdown in a fashionable hotel, down to Mexico City, where she took a mild, almost epidemic consumption	She had her only child after a long and difficult pregnancy, and he was born in the spring of 1896. By the time Amory was five, he was already fun to be around. He was a boy with reddish-brown hair, and big, beautiful eyes that he'd eventually grow into. He was imaginative and loved dressing up. From ages four to ten, he traveled around with his mother in her father's private train car, from Coronado, where she got so bored she had a breakdown at a fancy hotel, all the way to Mexico City, where she caught a mild case of tuberculosis.

This trouble pleased her, and later she made use of it as an intrinsic part of her atmosphere—especially after several astounding bracers. So, while more or less fortunate little rich boys were defying governesses on the beach at Newport, or being spanked or tutored or read to from Do and Dare, or Frank on the Mississippi, Amory was biting acquiescent bellboys in the Waldorf, outgrowing a natural repugnance to chamber music and symphonies, and deriving a highly specialized education from his mother	This problem made her happy, and later she used it to create her unique vibe—especially after a few strong drinks. So, while lucky rich kids were rebelling against their nannies on the beach in Newport, or getting punished, tutored, or read adventure stories, Amory was playfully biting willing hotel employees at the Waldorf, starting to enjoy classical music, and getting a very particular education from his mother.

“Amory.” “Yes, Beatrice	"Amory." "Yeah, Beatrice?"

(Such a quaint name for his mother; she encouraged it.) “Dear, don’t think of getting out of bed yet	"Honey, don't even think about getting up."

I’ve always suspected that early rising in early life makes one nervous. Clothilde is having your breakfast brought up.” “All right.” “I am feeling very old today, Amory,” she would sigh, her face a rare cameo of pathos, her voice exquisitely modulated, her hands as facile as Bernhardt’s	I always thought waking up early when you're young makes you anxious. Clothilde is having your breakfast sent up." "Okay." "I feel really old today, Amory," she'd sigh, her face looking sadly beautiful, her voice perfectly controlled, and her hands as expressive as Bernhardt's.

