ORIGINAL	TRANSLATED
Who’s there?	Who is it?

Nay, answer me: stand, and unfold yourself.	No, answer me: Stop, and tell me who you are.

Long live the king!	May the king live a long time!

Bernardo?	Is that you, Bernardo?

He.	Him.

You come most carefully upon your hour.	You're very punctual.

’Tis now struck twelve; get thee to bed, Francisco.	It's midnight now; go to bed, Francisco.

For this relief much thanks: ’tis bitter cold, And I am sick at heart.	Thank you for this break: it's freezing, and I'm heartbroken.

Have you had quiet guard?	Did you have a peaceful watch?

Not a mouse stirring.	Not even a mouse is moving.

Well, good night. If you do meet Horatio and Marcellus, The rivals of my watch, bid them make haste.	Okay, good night. If you happen to see Horatio and Marcellus, who are joining me on guard duty, tell them to hurry up.

I think I hear them. Stand, ho! Who’s there?	I think I hear someone. Stop! Who is it?

Friends to this ground.	Friends of this place.

And liegemen to the Dane.	Loyal subjects to the King of Denmark.

Give you good night.	Good night.

O, farewell, honest soldier: Who hath relieved you?	Goodbye, good soldier. Who replaced you on guard duty?

Bernardo has my place. Give you good night. (Exit.)	Bernardo is taking over my watch. Good night to you. (He leaves.)

Holla! Bernardo!	Hey! Bernardo!

Say, What, is Horatio there?	Tell me, is Horatio here?

A piece of him.	Part of him.

Welcome, Horatio: welcome, good Marcellus.	Welcome, Horatio; welcome, good Marcellus.

What, has this thing appear’d again to-night?	Has it shown up again tonight?

I have seen nothing.	I saw nothing.

Horatio says ’tis but our fantasy, And will not let belief take hold of him Touching this dreaded sight, twice seen of us: Therefore I have entreated him along With us to watch the minutes of this night; That if again this apparition come, He may approve our eyes and speak to it.	Horatio says it's just our imagination and refuses to believe what we saw, this terrifying ghost that we've seen twice. That's why I've asked him to join us tonight and keep watch, so if the ghost appears again, he can confirm what we've seen and talk to it.

Tush, tush, ’twill not appear.	Nonsense, nonsense, it won't show up.

Sit down awhile; And let us once again assail your ears, That are so fortified against our story What we have two nights seen.	Sit down for a moment, and let us try again to tell you what we saw two nights ago, something you're clearly unwilling to believe.

Well, sit we down, And let us hear Bernardo speak of this.	Okay, let's sit down and hear Bernardo talk about this.

Last night of all, When yond same star that’s westward from the pole Had made his course to illume that part of heaven Where now it burns, Marcellus and myself, The bell then beating one—	Just last night, when that same star west of the North Star had moved to shine on the part of the sky where it is now, Marcellus and I heard the bell strike one o'clock.

Peace, break thee off; look, where it comes again!	Quiet, stop talking; look, it's coming again!

In the same figure, like the king that’s dead.	Looking exactly like the dead king.

Thou art a scholar; speak to it, Horatio.	You're a scholar; talk to it, Horatio.

Looks it not like the king? mark it, Horatio.	Doesn't it look like the king? Look at it, Horatio.

Most like: it harrows me with fear and wonder.	Most likely: it fills me with terror and amazement.

It would be spoke to.	It wants to be spoken to.

Question it, Horatio.	Ask him about it, Horatio.

What art thou that usurp’st this time of night, Together with that fair and warlike form In which the majesty of buried Denmark Did sometimes march? by heaven I charge thee, speak!	Who are you that steals this time of night, appearing in the impressive and battle-ready shape that the dead King of Denmark used to wear when he led his army? By God, I order you to speak!

It is offended.	Something is wrong.

See, it stalks away!	Look, it walks away!

Stay! speak, speak! I charge thee, speak! (Exit Ghost.)	Stop! Talk, talk! I order you, speak!

’Tis gone, and will not answer.	It's gone and won't reply.

How now, Horatio! you tremble and look pale: Is not this something more than fantasy? What think you on’t?	Hey Horatio! You're shaking and look pale: Isn't this more than just imagination? What do you think about it?

Before my God, I might not this believe Without the sensible and true avouch Of mine own eyes.	I swear to God, I wouldn't have believed it without seeing it with my own eyes.

Is it not like the king?	Doesn't it look like the king?

As thou art to thyself: Such was the very armour he had on When he the ambitious Norway combated; So frown’d he once, when, in an angry parle, He smote the sledded Polacks on the ice. ’Tis strange.	Just as you look now, that's exactly the armor he wore when he fought ambitious Norway. He frowned like that once when, in an angry negotiation, he struck down the Polish soldiers on the ice. It's strange.

Thus twice before, and jump at this dead hour, With martial stalk hath he gone by our watch.	So, twice before, exactly at this dead of night, he has walked past our guard post with a soldier's stride.

In what particular thought to work I know not; But in the gross and scope of my opinion, This bodes some strange eruption to our state.	I'm not sure exactly what's going to happen, but in my overall view, this suggests some kind of major crisis is coming for our country.

Good now, sit down, and tell me, he that knows, Why this same strict and most observant watch So nightly toils the subject of the land, And why such daily cast of brazen cannon, And foreign mart for implements of war; Why such impress of shipwrights, whose sore task Does not divide the Sunday from the week; What might be toward, that this sweaty haste Doth make the night joint-labourer with the day: Who is’t that can inform me?	Please, someone who knows, sit down and tell me why this very disciplined and careful guard keeps working so hard every night, making the people of this country tired. And why are cannons being made every day, and war supplies bought from other countries? Why are shipbuilders being forced to work so hard, not even getting Sundays off? What could be happening that requires this hurried, exhausting work, making people work day and night? Who can tell me what's going on?

That can I; At least, the whisper goes so. Our last king, Whose image even but now appear’d to us, Was, as you know, by Fortinbras of Norway, Thereto prick’d on by a most emulate pride, Dared to the combat; in which our valiant Hamlet— For so this side of our known world esteem’d him— Did slay this Fortinbras; who, by a seal’d compact, Well ratified by law and heraldry, Did forfeit, with his life, all those his lands Which he stood seized of, to the conqueror: Against the which, a moiety competent Was gaged by our king; which had return’d To the inheritance of Fortinbras, Had he been vanquisher; as, by the same covenant, And carriage of the article design’d, His fell to Hamlet. Now, sir, young Fortinbras, Of unimproved mettle hot and full, Hath in the skirts of Norway here and there Shark’d up a list of lawless resolutes, For food and diet, to some enterprise That hath a stomach in’t; which is no other— As it doth well appear unto our state— But to recover of us, by strong hand And terms compulsatory, those foresaid lands So by his father lost: and this, I take it, Is the main motive of our preparations, The source of this our watch and the chief head Of this post-haste and romage in the land.	I can; at least, that’s what people are saying. Our former king, whose ghost we just saw, was killed by Fortinbras of Norway. Fortinbras, driven by excessive pride, challenged him to a fight. In that fight, our brave Hamlet—as everyone around here considered him—killed Fortinbras. Because of a legally binding agreement, Fortinbras forfeited all his lands to the winner when he died. Our king risked an equal amount of land; that land would have gone back to Fortinbras's family if Fortinbras had won. But, according to the agreement, Hamlet won it. Now, young Fortinbras, with his untested and fiery spirit, has gathered a bunch of reckless outlaws along the borders of Norway, hiring them for any dangerous job that comes along. It seems to us that his goal is to take back the lands his father lost by force. I believe this is the main reason for our military buildup, the reason we're keeping watch, and the cause of all this urgent activity in the country.

