sub_sentence	context	target_sentence
done, When the battle's lost and won.	When the hurlyburly's done, When the battle's lost and won.	When the hurlyburly's done, When the battle's lost and won.
meet with Macbeth.	There to meet with Macbeth.	There to meet with Macbeth.
Hover through the fog and filthy air.	Fair is foul, and foul is fair: Hover through the fog and filthy air.	Fair is foul, and foul is fair: Hover through the fog and filthy air.
the fog and filthy air	Fair is foul, and foul is fair: Hover through the fog and filthy air.	Fair is foul, and foul is fair: Hover through the fog and filthy air.
report, As seemeth by his plight, of the revolt The newest state.	What bloody man is that? He can report, As seemeth by his plight, of the revolt The newest state.	He can report, As seemeth by his plight, of the revolt The newest state.
a good and hardy soldier	This is the sergeant Who like a good and hardy soldier fought ' Gainst my captivity.	This is the sergeant Who like a good and hardy soldier fought '
sergeant Who like a good and hardy soldier fought '	This is the sergeant Who like a good and hardy soldier fought ' Gainst my captivity.	This is the sergeant Who like a good and hardy soldier fought '
Hail, brave friend!	Gainst my captivity. Hail, brave friend! Say to the king the knowledge of the broil As thou didst leave it.	Hail, brave friend!
knowledge of the broil As thou didst leave it.	Hail, brave friend! Say to the king the knowledge of the broil As thou didst leave it.	Say to the king the knowledge of the broil As thou didst leave it.
cling together And choke their art.	Doubtful it stood; As two spent swimmers, that do cling together And choke their art. The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name—	Doubtful it stood; As two spent swimmers, that do cling together And choke their art.
two spent swimmers	Doubtful it stood; As two spent swimmers, that do cling together And choke their art. The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name—	Doubtful it stood; As two spent swimmers, that do cling together And choke their art.
villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name—	Doubtful it stood; As two spent swimmers, that do cling together And choke their art. The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name— Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;	The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name—
brave Macbeth	Doubtful it stood; As two spent swimmers, that do cling together And choke their art. The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name— Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;	The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name—
a rebel's whore	Doubtful it stood; As two spent swimmers, that do cling together And choke their art. The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name— Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;	The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name—
The multiplying villanies	Doubtful it stood; As two spent swimmers, that do cling together And choke their art. The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name— Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;	The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name—
