sub_sentence	context
Oh, she was magnificent—pale skin, the color of marble in starlight, slender brows, and eyes that glittered green as emeralds in the blinding glare.	Suddenly the lightning flashed in with a leap of overreaching light and he saw Eleanor, and looked for the first time into those eyes of hers. Oh, she was magnificent—pale skin, the color of marble in starlight, slender brows, and eyes that glittered green as emeralds in the blinding glare. She was a witch, of perhaps nineteen, he judged, alert and dreamy and with the telltale white line over her upper lip that was a weakness and a delight.
that made them vaguely wonder why it did not sound quite clear, but never question that it was the utterance of a supersoul.	Tanaduke was a sophomore, with tremendous ears and a way of saying, “The earth swirls down through the ominous moons of preconsidered generations!” that made them vaguely wonder why it did not sound quite clear, but never question that it was the utterance of a supersoul. At least so Tom and Amory took him.
A last burst of singing flooded up from Blair Arch—broken voices for some long parting.	“You know,” whispered Tom, “what we feel now is the sense of all the gorgeous youth that has rioted through here in two hundred years.” A last burst of singing flooded up from Blair Arch—broken voices for some long parting. “And what we leave here is more than this class; it’s the whole heritage of youth.
“It’s a man—don’t you know?”	Who wrote it?” “It’s a man—don’t you know?” “Oh, surely.”
At this Isabelle’s little fist had clinched suddenly under the fur robe.	I guess he knows you’ve been kissed.” At this Isabelle’s little fist had clinched suddenly under the fur robe. She was accustomed to be thus followed by her desperate past, and it never failed to rouse in her the same feeling of resentment; yet—in a strange town it was an advantageous reputation.
“Servant-girls are that way,” says Mrs. Huston-Carmelite to her popular daughter.	None of the Victorian mothers—and most of the mothers were Victorian—had any idea how casually their daughters were accustomed to be kissed. “Servant-girls are that way,” says Mrs. Huston-Carmelite to her popular daughter. “They are kissed first and proposed to afterward.”
“But think of the cheapness of it—no one’s really going to martyr you for being a pacifist—it’s just going to throw you in with the worst—” “I doubt it,” he interrupted.	Amory’s heart sank. “But think of the cheapness of it—no one’s really going to martyr you for being a pacifist—it’s just going to throw you in with the worst—” “I doubt it,” he interrupted. “Well, it all smells of Bohemian New York to me.”
and like a sombre background lay that incident of the spring before, that filled half his nights with a dreary terror and made him unable to pray.	He had fallen into a deep cynicism over what had crossed his path, plotted the imperfectability of man and read Shaw and Chesterton enough to keep his mind from the edges of decadence—now suddenly all his mental processes of the last year and a half seemed stale and futile—a petty consummation of himself. and like a sombre background lay that incident of the spring before, that filled half his nights with a dreary terror and made him unable to pray. He was not even a Catholic, yet that was the only ghost of a code that he had, the gaudy, ritualistic, paradoxical Catholicism whose prophet was Chesterton, whose claqueurs were such reformed rakes of literature as Huysmans and Bourget, whose American sponsor was Ralph Adams Cram, with his adulation of thirteenth-century cathedrals—a Catholicism which Amory found convenient and ready-made, without priest or sacraments or sacrifice.
He was awakened by a woman clinging to him, a pretty woman, with brown, disarranged hair and dark blue eyes.	To his relief no one applauded the idea, so having finished his highball, he balanced his chin in his hand and his elbow on the table—a most delicate, scarcely noticeable sleeping position, he assured himself—and went into a deep stupor. He was awakened by a woman clinging to him, a pretty woman, with brown, disarranged hair and dark blue eyes. “Take me home!”
All through supper he addressed her in the most respectful language, while Kerry made idiotic love to her on the other side, and she giggled and grinned.	“She prefers her native dishes,” said Alec gravely to the waiter, “but any coarse food will do.” All through supper he addressed her in the most respectful language, while Kerry made idiotic love to her on the other side, and she giggled and grinned. Amory was content to sit and watch the byplay, thinking what a light touch Kerry had, and how he could transform the barest incident into a thing of curve and contour.
This particular day on which he announced his ennui to Tom had been quite typical.	Nevertheless, even though it might not yield a cent for the next three years, Amory decided with a vague sentimentality that for the present, at any rate, he would not sell the house. This particular day on which he announced his ennui to Tom had been quite typical. He had risen at noon, lunched with Mrs. Lawrence, and then ridden abstractedly homeward atop one of his beloved buses.
Ay, my good lord: safe in a ditch he bides, With twenty trenched gashes on his head; The least a death to nature.	Ay, my good lord: safe in a ditch he bides, With twenty trenched gashes on his head; The least a death to nature.
Nor do we find him forward to be sounded, But, with a crafty madness, keeps aloof, When we would bring him on to some confession Of his true state.	Nor do we find him forward to be sounded, But, with a crafty madness, keeps aloof, When we would bring him on to some confession Of his true state.
The room was in darkness except for the faint glow of Tom’s cigarette where he lounged by the open window.	Even his dreams now were faint violins drifting like summer sounds upon the summer air. The room was in darkness except for the faint glow of Tom’s cigarette where he lounged by the open window. As the door shut behind him, Amory stood a moment with his back against it.
finally bruised and weary, but still elusive, circling an end, twisting, changing pace, straight-arming.	For those minutes courage flowed like wine out of the November dusk, and he was the eternal hero, one with the sea-rover on the prow of a Norse galley, one with Roland and Horatius, Sir Nigel and Ted Coy, scraped and stripped into trim and then flung by his own will into the breach, beating back the tide, hearing from afar the thunder of cheers. finally bruised and weary, but still elusive, circling an end, twisting, changing pace, straight-arming. falling behind the Groton goal with two men on his legs, in the only touchdown of the game.
 “Here, Earthborn, over the lilt of the water, Lisping its music and bearing a burden of light, Bosoming day as a laughing and radiant daughter.	“Here, Earthborn, over the lilt of the water, Lisping its music and bearing a burden of light, Bosoming day as a laughing and radiant daughter. Here we may whisper unheard, unafraid of the night.
Now pile your dust upon the quick and dead, Till of this flat a mountain you have made, To o’ertop old Pelion, or the skyish head Of blue Olympus.	Now pile your dust upon the quick and dead, Till of this flat a mountain you have made, To o’ertop old Pelion, or the skyish head Of blue Olympus.
So all my words, however true, might sing you to a thousandth June, and no one ever know that you were Beauty for an afternoon.	—Ever his wit and not her eyes, ever his art and not her hair: “Who’d learn a trick in rhyme, be wise and pause before his sonnet there”. So all my words, however true, might sing you to a thousandth June, and no one ever know that you were Beauty for an afternoon. So he wrote one day, when he pondered how coldly we thought of the “Dark Lady of the Sonnets,” and how little we remembered her as the great man wanted her remembered.
Wilson has only been powerful when he has represented; he’s had to compromise over and over again.	“You’re mistaking this period when every nut is an individualist for a period of individualism. Wilson has only been powerful when he has represented; he’s had to compromise over and over again. Just as soon as Trotsky and Lenin take a definite, consistent stand they’ll become merely two-minute figures like Kerensky.
Froggy had fallen twenty-five places in one hour.	“I like you the first twenty-five,” she confessed, her voice trembling, “and Froggy Parker twenty-sixth.” Froggy had fallen twenty-five places in one hour. As yet he had not even noticed it.
Give first admittance to the ambassadors; My news shall be the fruit to that great feast.	Give first admittance to the ambassadors; My news shall be the fruit to that great feast.
